rank,chemical_id,chemical_name,ensemble_score,is_known_GBM_therapeutic,anti_neoplastic,n_targets
1,C045651,epigallocatechin gallate,1.4225664138793945,False,False,2264
2,D000077185,Resveratrol,1.397269606590271,True,False,5991
3,D002392,Catechin,1.374127984046936,False,False,870
4,D013739,Testosterone,1.3499879837036133,False,False,2223
5,D000077210,Sunitinib,1.3391731977462769,False,True,6038
6,D000077563,Norethindrone Acetate,1.3310285806655884,False,False,159
7,D000077404,Cidofovir,1.3288735151290894,False,False,276
8,D000077337,Vorinostat,1.3230109214782715,False,True,2686
9,D016572,Cyclosporine,1.3108116388320923,False,False,8249
10,D020106,Acrylamide,1.3029476404190063,False,False,2970
11,D000077767,Panobinostat,1.2986947298049927,False,True,1352
12,D012967,Sodium Dodecyl Sulfate,1.2892626523971558,False,False,488
13,C015358,methylparaben,1.2861024141311646,False,False,821
14,D006830,Hydralazine,1.2843248844146729,False,False,766
15,D015474,Isotretinoin,1.284286379814148,False,False,777
16,D000077267,Fulvestrant,1.2842086553573608,False,True,3661
17,D000077211,Zoledronic Acid,1.2836703062057495,False,True,1541
18,C031389,resorcinol,1.2818816900253296,False,False,218
19,D004317,Doxorubicin,1.266180396080017,True,True,7272
20,D013849,Thimerosal,1.2601577043533325,False,False,1124
21,C049935,avobenzone,1.2558408975601196,False,False,489
22,D007213,Indomethacin,1.248597264289856,True,False,3213
23,D014750,Vincristine,1.2448434829711914,False,True,1192
24,C011890,kojic acid,1.241498351097107,False,False,305
25,D000077339,Leflunomide,1.223629117012024,False,False,2073
26,D008727,Methotrexate,1.2196537256240845,False,True,1915
27,D000077209,Decitabine,1.2100163698196411,False,True,1851
28,D006861,Hydrogen Peroxide,1.207049012184143,False,False,3030
29,D011374,Progesterone,1.2013951539993286,False,False,1862
30,D014635,Valproic Acid,1.19666588306427,True,True,14336
31,D002220,Carbamazepine,1.192499041557312,False,False,2015
32,D000082,Acetaminophen,1.191226601600647,False,False,7329
33,D014212,Tretinoin,1.189141869544983,True,True,7649
34,D004121,Dimethyl Sulfoxide,1.1852798461914062,False,False,1098
35,D002110,Caffeine,1.1786507368087769,False,False,3457
36,D018038,Sodium Selenite,1.1752721071243286,False,False,1356
37,D001379,Azathioprine,1.1743565797805786,False,True,639
38,D002117,Calcitriol,1.1714636087417603,False,False,2424
39,D000077237,Arsenic Trioxide,1.1684699058532715,True,True,3410
40,D011794,Quercetin,1.167891502380371,True,True,3736
41,D007559,Ivermectin,1.1629451513290405,True,False,4246
42,D024483,Vitamin K 3,1.161383032798767,False,False,1160
43,D013806,Theophylline,1.1558871269226074,False,False,498
44,D002185,Cannabidiol,1.1503952741622925,True,False,1096
45,D004967,Estrogens,1.14712393283844,False,False,279
46,C030123,coumarin,1.1374412775039673,False,False,1790
47,D012643,Selenium,1.135783076286316,False,False,1553
